case_id,activity,timestamp_start,timestamp_end,resource,department,team
MAN-00001,Step_1,2025-07-02 09:51:00+02:00,2025-07-03 03:15:24.608227+02:00,Res_9,Manufacturing,Plant-A
MAN-00001,Step_2,2025-07-03 12:37:02.480784+02:00,2025-07-04 08:30:20.028953+02:00,Res_5,Manufacturing,Plant-A
MAN-00001,Step_3,2025-07-05 02:54:35.376508+02:00,2025-07-05 09:56:08.306648+02:00,Res_8,Manufacturing,Plant-A
MAN-00001,Step_4,2025-07-05 23:47:42.219861+02:00,2025-07-06 13:36:06.189940+02:00,Res_7,Manufacturing,Plant-A
MAN-00001,Step_5,2025-07-07 04:44:06.904285+02:00,2025-07-07 16:32:41.052393+02:00,Res_8,Manufacturing,Plant-A
MAN-00002,Step_1,2025-06-02 14:46:00+02:00,2025-06-03 07:18:58.063384+02:00,Res_6,Manufacturing,Plant-A
MAN-00002,Step_2,2025-06-03 16:19:03.949464+02:00,2025-06-04 13:23:28.497064+02:00,Res_8,Manufacturing,Plant-A
MAN-00002,Step_3,2025-06-05 17:10:54.198126+02:00,2025-06-06 06:48:37.351473+02:00,Res_9,Manufacturing,Plant-A
MAN-00002,Step_4,2025-06-06 20:24:45.487426+02:00,2025-06-07 06:14:51.561934+02:00,Res_8,Manufacturing,Plant-A
MAN-00002,Step_5,2025-06-08 12:58:30.526427+02:00,2025-06-09 11:36:54.896886+02:00,Res_7,Manufacturing,Plant-A
MAN-00003,Step_1,2025-07-19 13:01:00+02:00,2025-07-20 02:14:56.893422+02:00,Res_8,Manufacturing,Plant-A
MAN-00003,Step_2,2025-07-20 19:42:26.064144+02:00,2025-07-21 10:36:42.154231+02:00,Res_8,Manufacturing,Plant-A
MAN-00003,Step_3,2025-07-21 17:14:44.626962+02:00,2025-07-22 04:42:30.577354+02:00,Res_1,Manufacturing,Plant-A
MAN-00003,Step_4,2025-07-22 12:49:24.719152+02:00,2025-07-23 10:32:48.338598+02:00,Res_8,Manufacturing,Plant-A
MAN-00003,Step_5,2025-07-24 01:32:31.633767+02:00,2025-07-24 20:34:12.016433+02:00,Res_3,Manufacturing,Plant-A
MAN-00004,Step_1,2025-07-11 14:37:00+02:00,2025-07-12 03:36:36.727567+02:00,Res_2,Manufacturing,Plant-A
MAN-00004,Step_2,2025-07-12 16:52:33.000972+02:00,2025-07-13 03:36:48.825296+02:00,Res_9,Manufacturing,Plant-A
MAN-00004,Step_3,2025-07-13 22:58:34.003981+02:00,2025-07-14 10:06:45.628951+02:00,Res_1,Manufacturing,Plant-A
MAN-00004,Step_4,2025-07-14 22:35:49.917446+02:00,2025-07-15 05:47:13.746278+02:00,Res_8,Manufacturing,Plant-A
MAN-00004,Step_5,2025-07-15 15:50:00.850429+02:00,2025-07-15 22:33:23.523092+02:00,Res_4,Manufacturing,Plant-A
MAN-00005,Step_1,2025-07-10 09:05:00+02:00,2025-07-11 01:35:34.201149+02:00,Res_1,Manufacturing,Plant-A
MAN-00005,Step_2,2025-07-11 22:00:07.644090+02:00,2025-07-12 09:15:42.188786+02:00,Res_2,Manufacturing,Plant-A
MAN-00005,Step_3,2025-07-13 00:48:10.667548+02:00,2025-07-13 13:42:17.176113+02:00,Res_5,Manufacturing,Plant-A
MAN-00005,Step_4,2025-07-14 10:43:42.263390+02:00,2025-07-14 21:14:34.793397+02:00,Res_2,Manufacturing,Plant-A
MAN-00005,Step_5,2025-07-15 12:00:44.125248+02:00,2025-07-15 22:14:13.626023+02:00,Res_4,Manufacturing,Plant-A
MAN-00006,Step_1,2025-06-26 11:29:00+02:00,2025-06-26 20:06:22.674349+02:00,Res_6,Manufacturing,Plant-A
MAN-00006,Step_2,2025-06-27 11:02:06.620925+02:00,2025-06-27 23:24:03.609960+02:00,Res_4,Manufacturing,Plant-A
MAN-00006,Step_3,2025-06-28 10:34:12.689676+02:00,2025-06-29 06:16:23.156680+02:00,Res_9,Manufacturing,Plant-A
MAN-00006,Step_4,2025-06-29 14:46:46.344018+02:00,2025-06-29 19:32:00.868770+02:00,Res_9,Manufacturing,Plant-A
MAN-00006,Step_5,2025-06-30 09:13:56.113741+02:00,2025-06-30 20:27:21.221007+02:00,Res_1,Manufacturing,Plant-A
MAN-00007,Step_1,2025-07-15 12:52:00+02:00,2025-07-16 09:34:07.230149+02:00,Res_8,Manufacturing,Plant-A
MAN-00007,Step_2,2025-07-16 21:12:01.295860+02:00,2025-07-17 05:24:12.058352+02:00,Res_5,Manufacturing,Plant-A
MAN-00007,Step_3,2025-07-18 05:22:10.813789+02:00,2025-07-21 02:43:24.857529+02:00,Res_2,Manufacturing,Plant-A
MAN-00007,Step_4,2025-07-21 16:27:27.827028+02:00,2025-07-22 14:48:52.413518+02:00,Res_9,Manufacturing,Plant-A
MAN-00007,Step_5,2025-07-23 05:05:00.259577+02:00,2025-07-23 17:54:50.986976+02:00,Res_6,Manufacturing,Plant-A
MAN-00008,Step_1,2025-07-05 07:06:00+02:00,2025-07-05 16:41:30.958463+02:00,Res_6,Manufacturing,Plant-A
MAN-00008,Step_2,2025-07-06 12:09:58.461889+02:00,2025-07-06 23:23:26.289476+02:00,Res_7,Manufacturing,Plant-A
MAN-00008,Step_3,2025-07-07 14:52:55.533434+02:00,2025-07-08 04:01:18.624435+02:00,Res_2,Manufacturing,Plant-A
MAN-00008,Step_4,2025-07-08 21:41:57.106462+02:00,2025-07-09 05:11:01.668984+02:00,Res_5,Manufacturing,Plant-A
MAN-00008,Step_5,2025-07-09 19:11:11.271577+02:00,2025-07-10 03:35:11.914671+02:00,Res_7,Manufacturing,Plant-A
MAN-00009,Step_1,2025-06-29 12:44:00+02:00,2025-06-29 21:30:23.651505+02:00,Res_2,Manufacturing,Plant-A
MAN-00009,Step_2,2025-06-30 06:33:14.970099+02:00,2025-06-30 21:21:54.482698+02:00,Res_1,Manufacturing,Plant-A
MAN-00009,Step_3,2025-07-01 03:43:04.134479+02:00,2025-07-01 08:46:55.668022+02:00,Res_2,Manufacturing,Plant-A
MAN-00009,Step_4,2025-07-01 21:46:24.698306+02:00,2025-07-02 08:44:08.991789+02:00,Res_3,Manufacturing,Plant-A
MAN-00009,Step_5,2025-07-03 04:31:00.121843+02:00,2025-07-03 11:37:28.731645+02:00,Res_6,Manufacturing,Plant-A
MAN-00010,Step_1,2025-06-05 17:21:00+02:00,2025-06-06 02:40:44.125768+02:00,Res_3,Manufacturing,Plant-A
MAN-00010,Step_2,2025-06-06 09:31:39.431949+02:00,2025-06-06 17:28:18.513226+02:00,Res_5,Manufacturing,Plant-A
MAN-00010,Step_3,2025-06-07 07:13:20.941897+02:00,2025-06-07 17:00:30.686782+02:00,Res_2,Manufacturing,Plant-A
MAN-00010,Step_4,2025-06-08 03:20:25.984988+02:00,2025-06-08 11:11:32.053689+02:00,Res_8,Manufacturing,Plant-A
MAN-00010,Step_5,2025-06-09 03:00:58.701210+02:00,2025-06-09 14:33:58.338397+02:00,Res_4,Manufacturing,Plant-A
MAN-00011,Step_1,2025-07-07 17:21:00+02:00,2025-07-08 18:37:26.264126+02:00,Res_7,Manufacturing,Plant-A
