case_id,activity,timestamp_start,timestamp_end,resource,department,team
MAN-00001,Step_1,2025-07-28 07:30:00+02:00,2025-07-28 18:19:47.519618+02:00,Res_7,Manufacturing,Plant-B
MAN-00001,Step_2,2025-07-29 06:36:26.000253+02:00,2025-07-29 16:06:04.452368+02:00,Res_3,Manufacturing,Plant-B
MAN-00001,Step_3,2025-07-30 07:03:10.552659+02:00,2025-07-30 20:17:21.922599+02:00,Res_7,Manufacturing,Plant-B
MAN-00001,Step_4,2025-07-31 03:17:56.011271+02:00,2025-07-31 15:36:40.825368+02:00,Res_7,Manufacturing,Plant-B
MAN-00001,Step_5,2025-08-01 19:51:29.327009+02:00,2025-08-02 19:24:57.605491+02:00,Res_3,Manufacturing,Plant-B
MAN-00002,Step_1,2025-06-30 11:35:00+02:00,2025-07-01 02:35:51.158443+02:00,Res_3,Manufacturing,Plant-B
MAN-00002,Step_2,2025-07-02 01:11:00.039154+02:00,2025-07-02 12:16:16.120254+02:00,Res_1,Manufacturing,Plant-B
MAN-00002,Step_3,2025-07-03 05:47:41.892904+02:00,2025-07-03 15:47:02.518189+02:00,Res_1,Manufacturing,Plant-B
MAN-00002,Step_4,2025-07-04 06:39:33.533842+02:00,2025-07-04 18:34:37.484598+02:00,Res_9,Manufacturing,Plant-B
MAN-00002,Step_5,2025-07-05 07:04:54.127717+02:00,2025-07-05 13:16:32.424887+02:00,Res_3,Manufacturing,Plant-B
MAN-00003,Step_1,2025-06-25 07:58:00+02:00,2025-06-25 15:19:54.505208+02:00,Res_6,Manufacturing,Plant-B
MAN-00003,Step_2,2025-06-25 21:06:04.638832+02:00,2025-06-26 06:36:35.475885+02:00,Res_6,Manufacturing,Plant-B
MAN-00003,Step_3,2025-06-26 17:54:49.083329+02:00,2025-06-27 04:17:21.539183+02:00,Res_7,Manufacturing,Plant-B
MAN-00003,Step_4,2025-06-28 00:39:55.002391+02:00,2025-06-28 04:19:20.081990+02:00,Res_6,Manufacturing,Plant-B
