case_id,activity,timestamp_start,timestamp_end,resource,department,team
PRO-00001,Step_1,2025-07-03 12:39:00+02:00,2025-07-03 19:20:08.299665+02:00,Res_8,Procurement,Team-North
PRO-00001,Step_2,2025-07-04 06:49:30.194841+02:00,2025-07-04 15:22:33.039962+02:00,Res_7,Procurement,Team-North
PRO-00001,Step_3,2025-07-05 13:23:58.032350+02:00,2025-07-07 15:05:21.553024+02:00,Res_9,Procurement,Team-North
PRO-00001,Step_4,2025-07-08 01:02:13.400501+02:00,2025-07-08 13:58:24.583575+02:00,Res_7,Procurement,Team-North
PRO-00001,Step_5,2025-07-09 02:58:32.492900+02:00,2025-07-09 09:05:10.775141+02:00,Res_8,Procurement,Team-North
PRO-00002,Step_1,2025-06-06 17:58:00+02:00,2025-06-07 06:28:40.206685+02:00,Res_6,Procurement,Team-North
PRO-00002,Step_2,2025-06-08 12:16:27.571379+02:00,2025-06-08 21:19:37.321796+02:00,Res_8,Procurement,Team-North
PRO-00002,Step_3,2025-06-09 17:01:42.046203+02:00,2025-06-10 01:35:31.291499+02:00,Res_2,Procurement,Team-North
PRO-00002,Step_4,2025-06-10 15:18:09.675163+02:00,2025-06-11 04:28:33.935420+02:00,Res_7,Procurement,Team-North
PRO-00002,Step_5,2025-06-11 13:02:41.151662+02:00,2025-06-11 22:23:23.263727+02:00,Res_6,Procurement,Team-North
PRO-00003,Step_1,2025-06-17 10:47:00+02:00,2025-06-17 22:16:51.248763+02:00,Res_6,Procurement,Team-North
PRO-00003,Step_2,2025-06-18 17:49:57.627678+02:00,2025-06-19 02:05:51.191678+02:00,Res_4,Procurement,Team-North
PRO-00003,Step_3,2025-06-19 14:04:30.013119+02:00,2025-06-19 23:22:10.302925+02:00,Res_9,Procurement,Team-North
PRO-00003,Step_4,2025-06-20 05:59:57.012004+02:00,2025-06-21 00:16:56.305656+02:00,Res_8,Procurement,Team-North
PRO-00003,Step_5,2025-06-21 03:47:22.205986+02:00,2025-06-21 13:46:57.218616+02:00,Res_6,Procurement,Team-North
PRO-00004,Step_1,2025-06-25 13:10:00+02:00,2025-06-26 02:06:48.980594+02:00,Res_6,Procurement,Team-North
PRO-00004,Step_2,2025-06-26 14:18:18.907031+02:00,2025-06-27 13:07:44.588130+02:00,Res_9,Procurement,Team-North
PRO-00004,Step_3,2025-06-28 05:42:43.422225+02:00,2025-06-28 14:56:00.688434+02:00,Res_5,Procurement,Team-North
PRO-00004,Step_4,2025-06-29 15:02:52.783865+02:00,2025-06-30 02:56:58.504119+02:00,Res_4,Procurement,Team-North
PRO-00004,Step_5,2025-06-30 20:07:44.128359+02:00,2025-07-01 15:52:09.877081+02:00,Res_9,Procurement,Team-North
PRO-00005,Step_1,2025-07-09 14:10:00+02:00,2025-07-11 09:48:41.204912+02:00,Res_1,Procurement,Team-North
PRO-00005,Step_2,2025-07-11 17:29:27.228079+02:00,2025-07-12 06:21:28.000977+02:00,Res_1,Procurement,Team-North
PRO-00005,Step_3,2025-07-12 18:18:22.922634+02:00,2025-07-13 09:21:57.029464+02:00,Res_2,Procurement,Team-North
PRO-00005,Step_4,2025-07-13 19:49:39.041953+02:00,2025-07-14 08:00:56.258570+02:00,Res_5,Procurement,Team-North
PRO-00005,Step_5,2025-07-15 08:02:33.674215+02:00,2025-07-16 02:03:32.267976+02:00,Res_8,Procurement,Team-North
PRO-00006,Step_1,2025-07-12 11:45:00+02:00,2025-07-12 14:16:24.345520+02:00,Res_5,Procurement,Team-North
PRO-00006,Step_2,2025-07-13 03:47:38.347157+02:00,2025-07-13 12:46:43.863407+02:00,Res_9,Procurement,Team-North
PRO-00006,Step_3,2025-07-14 04:18:38.408980+02:00,2025-07-14 13:30:05.739245+02:00,Res_1,Procurement,Team-North
PRO-00006,Step_4,2025-07-15 03:21:28.479168+02:00,2025-07-15 11:10:50.768221+02:00,Res_6,Procurement,Team-North
PRO-00006,Step_5,2025-07-16 08:19:03.864726+02:00,2025-07-16 16:17:30.084024+02:00,Res_2,Procurement,Team-North
PRO-00007,Step_1,2025-07-27 12:17:00+02:00,2025-07-28 01:14:30.790324+02:00,Res_6,Procurement,Team-North
PRO-00007,Step_2,2025-07-28 19:39:57.858342+02:00,2025-07-29 05:07:26.320874+02:00,Res_3,Procurement,Team-North
PRO-00007,Step_3,2025-07-29 21:54:07.181869+02:00,2025-07-30 09:16:22.587583+02:00,Res_5,Procurement,Team-North
PRO-00007,Step_4,2025-07-30 19:46:03.050843+02:00,2025-07-31 01:48:49.036635+02:00,Res_9,Procurement,Team-North
PRO-00007,Step_5,2025-08-01 00:26:00.096978+02:00,2025-08-01 18:24:23.505578+02:00,Res_2,Procurement,Team-North
PRO-00008,Step_1,2025-06-18 17:03:00+02:00,2025-06-19 00:10:30.651034+02:00,Res_8,Procurement,Team-North
PRO-00008,Step_2,2025-06-19 10:47:44.335257+02:00,2025-06-20 06:12:49.037215+02:00,Res_8,Procurement,Team-North
PRO-00008,Step_3,2025-06-20 20:02:45.588454+02:00,2025-06-21 05:28:57.920370+02:00,Res_4,Procurement,Team-North
PRO-00008,Step_4,2025-06-21 16:24:35.180147+02:00,2025-06-22 11:51:41.133279+02:00,Res_5,Procurement,Team-North
PRO-00008,Step_5,2025-06-23 02:40:20.123961+02:00,2025-06-24 22:45:55.844201+02:00,Res_6,Procurement,Team-North
PRO-00009,Step_1,2025-06-05 16:24:00+02:00,2025-06-05 22:26:19.889270+02:00,Res_2,Procurement,Team-North
PRO-00009,Step_2,2025-06-06 19:32:24.251595+02:00,2025-06-07 08:20:26.502592+02:00,Res_9,Procurement,Team-North
PRO-00009,Step_3,2025-06-08 02:06:55.279916+02:00,2025-06-08 08:32:56.739556+02:00,Res_7,Procurement,Team-North
PRO-00009,Step_4,2025-06-08 14:10:26.528296+02:00,2025-06-09 00:38:44.039013+02:00,Res_3,Procurement,Team-North
PRO-00009,Step_5,2025-06-10 01:51:51.199420+02:00,2025-06-10 13:35:29.199829+02:00,Res_3,Procurement,Team-North
PRO-00010,Step_1,2025-06-12 17:34:00+02:00,2025-06-13 06:58:33.535108+02:00,Res_7,Procurement,Team-North
PRO-00010,Step_2,2025-06-13 16:31:55.210419+02:00,2025-06-14 03:18:28.391257+02:00,Res_8,Procurement,Team-North
PRO-00010,Step_3,2025-06-15 12:47:57.693235+02:00,2025-06-16 00:31:18.920462+02:00,Res_9,Procurement,Team-North
PRO-00010,Step_4,2025-06-16 07:49:33.287503+02:00,2025-06-17 03:26:05.173983+02:00,Res_1,Procurement,Team-North
PRO-00010,Step_5,2025-06-17 19:00:08.484207+02:00,2025-06-18 08:14:15.652817+02:00,Res_2,Procurement,Team-North
PRO-00011,Step_1,2025-07-06 15:38:00+02:00,2025-07-07 06:57:21.230487+02:00,Res_9,Procurement,Team-North
PRO-00011,Step_2,2025-07-07 20:22:50.062082+02:00,2025-07-08 05:12:43.143307+02:00,Res_7,Procurement,Team-North
PRO-00011,Step_3,2025-07-08 12:30:41.457522+02:00,2025-07-08 23:14:22.099160+02:00,Res_2,Procurement,Team-North
PRO-00011,Step_4,2025-07-09 20:14:34.648437+02:00,2025-07-10 10:35:52.839966+02:00,Res_5,Procurement,Team-North
PRO-00011,Step_5,2025-07-11 03:01:06.118753+02:00,2025-07-12 04:44:00.456336+02:00,Res_1,Procurement,Team-North
PRO-00012,Step_1,2025-06-11 14:03:00+02:00,2025-06-11 17:56:20.842662+02:00,Res_1,Procurement,Team-North
PRO-00012,Step_2,2025-06-12 11:10:01.215845+02:00,2025-06-12 23:39:31.939864+02:00,Res_7,Procurement,Team-North
PRO-00012,Step_3,2025-06-13 20:42:36.297006+02:00,2025-06-14 16:18:51.767885+02:00,Res_4,Procurement,Team-North
PRO-00012,Step_4,2025-06-14 21:40:52.534097+02:00,2025-06-15 14:04:31.488539+02:00,Res_9,Procurement,Team-North
PRO-00012,Step_5,2025-06-16 04:28:05.110051+02:00,2025-06-16 12:53:11.806262+02:00,Res_6,Procurement,Team-North
PRO-00013,Step_1,2025-07-01 08:35:00+02:00,2025-07-01 21:51:16.312893+02:00,Res_1,Procurement,Team-North
PRO-00013,Step_2,2025-07-02 14:48:41.235420+02:00,2025-07-02 23:07:12.463785+02:00,Res_4,Procurement,Team-North
PRO-00013,Step_3,2025-07-03 08:12:51.819693+02:00,2025-07-03 23:59:56.244281+02:00,Res_8,Procurement,Team-North
PRO-00013,Step_4,2025-07-04 07:00:07.198308+02:00,2025-07-05 02:08:08.146364+02:00,Res_8,Procurement,Team-North
PRO-00013,Step_5,2025-07-05 22:23:37.134867+02:00,2025-07-06 18:35:12.496502+02:00,Res_9,Procurement,Team-North
PRO-00014,Step_1,2025-06-01 17:17:00+02:00,2025-06-02 02:56:53.904053+02:00,Res_2,Procurement,Team-North
PRO-00014,Step_2,2025-06-03 02:27:13.376889+02:00,2025-06-03 16:27:09.914201+02:00,Res_2,Procurement,Team-North
PRO-00014,Step_3,2025-06-04 13:27:20.620094+02:00,2025-06-04 23:15:02.459498+02:00,Res_3,Procurement,Team-North
PRO-00014,Step_4,2025-06-05 08:31:38.489597+02:00,2025-06-06 07:07:38.235815+02:00,Res_6,Procurement,Team-North
