case_id,activity,timestamp_start,timestamp_end,resource,department,team
PRO-00001,Step_1,2025-06-29 13:35:00+02:00,2025-06-30 01:03:33.876799+02:00,Res_1,Procurement,Team-South
PRO-00001,Step_2,2025-06-30 18:54:12.946483+02:00,2025-07-01 09:10:13.614348+02:00,Res_5,Procurement,Team-South
PRO-00001,Step_3,2025-07-01 19:25:43.131833+02:00,2025-07-02 04:02:38.633578+02:00,Res_1,Procurement,Team-South
PRO-00001,Step_4,2025-07-02 20:07:43.432070+02:00,2025-07-03 06:13:55.879473+02:00,Res_6,Procurement,Team-South
PRO-00001,Step_5,2025-07-03 12:43:48.697744+02:00,2025-07-03 20:55:01.901877+02:00,Res_4,Procurement,Team-South
PRO-00002,Step_1,2025-06-07 15:50:00+02:00,2025-06-08 05:15:01.024472+02:00,Res_7,Procurement,Team-South
PRO-00002,Step_2,2025-06-08 15:15:55.922566+02:00,2025-06-09 15:56:00.316735+02:00,Res_4,Procurement,Team-South
PRO-00002,Step_3,2025-06-10 06:35:59.179892+02:00,2025-06-10 11:21:51.568355+02:00,Res_8,Procurement,Team-South
PRO-00002,Step_4,2025-06-10 22:27:29.416742+02:00,2025-06-11 10:08:59.514919+02:00,Res_1,Procurement,Team-South
PRO-00002,Step_5,2025-06-12 03:21:56.938445+02:00,2025-06-12 08:36:52.454094+02:00,Res_6,Procurement,Team-South
PRO-00003,Step_1,2025-07-24 11:23:00+02:00,2025-07-24 22:57:47.455315+02:00,Res_6,Procurement,Team-South
PRO-00003,Step_2,2025-07-25 07:57:03.520167+02:00,2025-07-25 16:10:48.445184+02:00,Res_1,Procurement,Team-South
PRO-00003,Step_3,2025-07-26 06:04:38.349376+02:00,2025-07-26 20:52:02.097681+02:00,Res_2,Procurement,Team-South
PRO-00003,Step_4,2025-07-27 07:34:40.548850+02:00,2025-07-27 23:25:07.366758+02:00,Res_9,Procurement,Team-South
PRO-00003,Step_5,2025-07-28 12:17:30.911360+02:00,2025-07-28 23:18:03.894174+02:00,Res_4,Procurement,Team-South
PRO-00004,Step_1,2025-06-15 12:40:00+02:00,2025-06-15 20:23:31.125286+02:00,Res_6,Procurement,Team-South
PRO-00004,Step_2,2025-06-16 05:44:19.265507+02:00,2025-06-17 07:57:48.321833+02:00,Res_1,Procurement,Team-South
PRO-00004,Step_3,2025-06-18 00:54:10.281166+02:00,2025-06-18 13:08:52.837255+02:00,Res_4,Procurement,Team-South
PRO-00004,Step_4,2025-06-19 10:21:14.364855+02:00,2025-06-19 14:36:23.501331+02:00,Res_5,Procurement,Team-South
PRO-00004,Step_5,2025-06-20 11:05:01.315805+02:00,2025-06-21 07:17:16.210248+02:00,Res_1,Procurement,Team-South
